Unnamed: 0,country,year,population,yearly_%_change,migrants,median_age,fertility_rate,density(P/Km²),urban_pop_%,rank
1432,58,2016,10615185,-0.42,-16000.0,43.8,1.34,82,82.6,85
3332,138,1975,3037154,2.04,0.0,19.5,6.57,42,27.3,116
3191,131,1965,86011,1.21,-1871.0,14.8,7.02,221,28.2,183
1585,65,1970,704934,1.58,-8512.0,16.3,5.7,4,29.4,150
3315,137,1970,52368,2.28,-222.0,18.0,5.92,114,39.1,201
1262,51,1975,4718749,0.46,5776.0,30.8,1.62,16,67.8,93
3186,131,1990,107484,0.56,-1437.0,20.4,3.1,276,41.4,192
1088,43,1955,3956620,2.66,-400.0,19.3,6.75,16,31.0,78
224,8,1985,7614868,0.01,3600.0,35.8,1.6,92,64.3,79
2455,101,2005,616391,0.09,-1600.0,35.0,1.85,46,62.5,165
4060,172,2005,209282,2.5,-515.0,19.8,4.4,17,23.1,184
2356,97,1965,30526,4.91,463.0,17.9,7.91,81,22.0,210
1555,63,2018,12414293,2.87,-4000.0,17.3,5.05,51,38.0,75
1244,50,1975,576626,2.07,-3029.0,18.9,4.2,32,36.7,155
4048,171,1975,13857478,2.78,14133.0,18.0,6.16,33,39.2,41
3853,164,1970,34876303,2.4,-36000.0,19.0,5.8,45,38.2,20
926,35,1960,7141250,1.78,-11000.0,22.9,3.7,67,58.4,63
4010,169,1985,105280,1.22,-698.0,24.0,2.97,301,84.3,190
3767,160,1955,1473839,1.1,-9384.0,18.9,6.33,27,6.7,126
4154,176,1980,7941898,3.2,-15000.0,15.2,8.6,15,16.9,73
1398,57,2015,27849205,2.36,-10000.0,20.7,4.18,122,53.6,47
165,6,2010,2877319,-0.71,-36672.0,32.9,1.72,101,63.4,139
156,5,1965,22159650,1.59,24400.0,26.9,3.09,8,76.8,28
2354,97,1975,45483,4.23,99.0,15.6,7.91,121,27.5,205
3283,136,2020,8737371,-0.4,4000.0,41.6,1.46,100,56.2,99
2002,82,2019,1906743,-1.13,-14837.0,42.9,1.54,31,68.4,151
2008,82,2005,2251993,-1.13,-14498.0,39.5,1.29,36,68.0,142
2780,115,1980,4086076,0.39,4146.0,33.3,1.81,11,70.5,104
1370,56,1975,4873639,0.67,-14685.0,28.5,2.6,70,50.3,91
2177,89,1965,5769218,2.5,0.0,17.9,7.3,10,12.4,73
2059,85,2016,4586787,2.56,-5000.0,18.9,4.67,48,50.5,124
1625,67,2019,9746117,1.65,-6800.0,22.9,2.68,87,56.7,93
422,16,1980,406875,3.15,2003.0,18.3,6.6,11,10.2,161
1330,54,1995,1084946,2.7,1000.0,19.0,5.25,4,74.9,153
3742,159,1990,737814,2.35,0.0,20.6,5.4,50,21.2,157
1693,69,1965,192313,1.84,-146.0,24.2,3.94,2,82.7,171
979,38,1965,9811377,0.46,5000.0,33.8,2.21,127,62.0,39
1241,50,1990,728573,0.47,-13399.0,20.9,3.47,40,41.6,158
3635,153,1985,6435424,0.48,16208.0,36.0,1.54,163,74.5,88
415,16,2015,727876,1.21,60.0,25.7,2.12,19,41.8,165
4161,177,2019,17861030,2.94,-8000.0,16.9,5.09,24,44.8,65
962,37,1960,572930,1.57,-1330.0,23.0,3.5,62,35.6,148
566,22,1975,6154545,1.82,-34053.0,17.8,6.7,22,6.3,80
3795,161,1990,95069,0.25,-2157.0,19.7,4.74,132,22.7,196
150,5,1995,34828170,1.32,-21000.0,27.1,2.91,13,88.6,31
1813,73,1990,4448353,1.97,13084.0,25.9,3.07,206,91.4,108
424,16,1970,297316,3.2,2000.0,18.9,6.6,8,6.1,166
2958,124,1985,9929184,0.36,-13379.0,32.1,2.01,108,45.6,65
2118,87,1990,3696035,0.74,7373.0,32.7,2.06,59,67.6,118
3676,155,1960,10876150,3.43,1000.0,17.5,6.14,307,30.9,38
362,14,2015,360933,2.28,1519.0,23.7,2.58,16,45.2,179
1931,78,2018,115847,1.48,-800.0,22.5,3.75,143,55.3,193
1906,76,1975,14050226,1.51,-25620.0,22.3,3.61,5,52.9,40
475,19,1985,1069582,3.56,1041.0,15.9,5.95,2,29.7,149
1584,65,1975,745841,1.13,-10872.0,17.3,4.99,4,30.0,150
2875,120,2020,7132538,1.25,-16556.0,26.3,2.45,18,61.6,106
3331,138,1980,3388495,2.21,0.0,18.8,6.65,47,29.6,113
3809,162,2010,1328147,0.48,-3721.0,31.9,1.8,259,54.0,153
2440,100,1990,2184145,2.59,0.0,19.3,4.84,1,57.0,136
35,1,1955,1419994,2.37,-20.0,20.6,6.23,52,26.9,127
3397,140,2005,1994976,0.07,3000.0,40.1,1.21,99,51.6,145
712,27,1955,1401341,1.1,0.0,22.3,5.52,2,17.0,128
992,39,1990,34612023,2.98,14903.0,17.4,6.71,15,30.6,29
1068,42,1965,3877765,3.32,-8698.0,15.5,7.35,80,35.1,97
3241,133,1980,95794,2.87,-244.0,16.1,6.5,100,33.2,192
194,7,1955,43724,2.81,-316.0,18.1,5.65,243,50.9,196
4169,177,1995,9096607,2.51,-30000.0,16.4,6.3,12,37.3,80
1758,71,2000,23497585,3.12,-3572.0,18.2,5.19,54,68.7,43
3310,137,1995,76649,1.67,101.0,24.5,2.57,167,49.7,200
524,20,2005,365114,1.85,84.0,26.8,2.22,69,73.2,176
1394,57,2019,30417856,2.19,-10000.0,20.9,4.12,134,56.1,46
1517,62,2020,17915568,1.9,-9215.0,22.9,2.9,167,51.8,66
1435,58,2005,11224791,0.26,22717.0,39.4,1.29,87,75.0,73
3797,161,1980,92971,1.03,-1563.0,18.3,5.5,129,21.2,193
2390,98,1975,272173,1.86,-2100.0,18.7,5.3,86,56.2,196
1691,69,1975,218070,1.3,-212.0,25.4,2.87,2,86.7,174
830,31,1995,2707537,2.81,4506.0,18.0,5.0,8,58.3,132
1582,65,1985,770435,-0.25,-19468.0,19.2,3.64,4,30.0,153
1516,61,1955,62641,0.98,-768.0,22.3,5.53,116,45.7,188
3531,147,1965,11110820,2.39,-9500.0,19.1,5.2,177,17.1,45
876,33,2018,25069230,2.59,-8000.0,18.4,4.89,79,50.4,54
174,6,1965,2211319,3.36,14067.0,20.6,4.45,78,55.6,121
90,3,2018,30809787,3.33,6413.0,16.4,5.91,25,65.4,45
1393,57,2020,31072940,2.15,-10000.0,21.5,3.89,137,56.7,47
1171,48,1990,1565246,0.56,3099.0,34.4,2.2,37,71.2,146
3752,160,2018,7889093,2.48,-2000.0,18.9,4.62,145,42.2,102
711,27,1960,1501668,1.39,0.0,21.7,5.75,2,20.1,130
3871,165,1970,2195175,3.01,5629.0,17.7,6.56,5,47.8,124
1964,79,1955,181888,3.51,770.0,22.7,7.2,10,69.3,169
4171,177,1985,6923149,3.42,2000.0,15.9,6.9,9,39.8,82
561,22,2000,11607942,2.84,-27500.0,16.4,6.73,42,17.8,67
426,16,1960,223288,2.49,1000.0,18.8,6.67,6,3.6,167
3598,151,1990,822420,3.3,-444.0,15.6,5.49,48,21.2,154
2435,100,2015,2998439,1.97,-852.0,27.1,2.84,2,67.7,137
4166,177,2010,13605984,2.79,-35000.0,16.2,5.6,18,40.1,70
2387,98,1990,416769,3.24,2300.0,21.6,4.09,131,61.7,195
1157,47,1970,1310945,2.69,1000.0,18.1,6.7,13,17.5,139
1142,46,1955,239873,1.24,0.0,23.1,5.67,9,20.3,163
3200,132,2010,185949,0.68,-3017.0,20.8,4.47,66,20.1,187
1351,55,1980,637246,3.37,2916.0,18.4,6.4,63,26.9,155
4145,176,2017,27834819,2.45,-30000.0,19.3,4.28,53,36.6,49
911,35,2019,11333483,-0.04,-14400.0,41.1,1.69,106,78.2,82
2090,86,1955,1245358,2.06,0.0,19.8,7.14,1,23.2,132
1853,74,1970,1875642,1.32,-29948.0,17.2,5.78,173,41.3,129
3011,127,1990,610582,1.79,-399.0,24.0,2.71,244,81.2,160
438,17,1990,6864842,2.13,-12852.0,20.0,5.07,6,55.5,90
2729,113,1970,14410400,2.81,0.0,21.0,4.39,120,54.2,37
1027,41,1995,630388,1.32,-9000.0,18.1,5.85,27,76.3,160
812,30,1995,475394,2.92,-600.0,17.1,6.1,255,28.3,166
3423,141,1965,136816,3.03,472.0,18.3,6.4,5,7.2,175
3656,154,1970,6350541,3.4,-3200.0,15.9,7.56,35,43.3,70
